date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:07:20,5170,13250,9.0,29495,96,0.030907,-1909.7523193359375,-1854.53564453125,0.43891666666666684
2022/12/26-15:07:24,5171,13434,2.0,29501,54,0.023186,-1908.86474609375,-1854.53564453125,0.43533333333333374
2022/12/26-15:07:24,5172,13438,5.0,29500,83,0.022082,-1909.1541748046875,-1854.53564453125,0.43716666666666687
2022/12/26-15:07:25,5173,13459,2.0,29496,60,0.027442,-1909.484619140625,-1854.53564453125,0.4360000000000004
2022/12/26-15:07:27,5174,13568,8.0,29502,80,0.034079,-1909.7977294921875,-1854.53564453125,0.4377500000000002
2022/12/26-15:07:31,5175,13736,6.0,29497,101,0.033350,-1911.21044921875,-1854.53564453125,0.4395
2022/12/26-15:07:34,5176,13830,5.0,29499,82,0.034260,-1912.83251953125,-1854.53564453125,0.44083333333333313
2022/12/26-15:07:36,5177,13928,8.0,29498,113,0.026082,-1913.87158203125,-1854.53564453125,0.4377500000000002
2022/12/26-15:07:38,5178,13987,7.0,29496,67,0.028066,-1914.3016357421875,-1854.53564453125,0.43533333333333374
2022/12/26-15:07:38,5179,14001,4.0,29500,69,0.022268,-1914.8214111328125,-1854.53564453125,0.43658333333333355
2022/12/26-15:07:39,5180,14033,7.0,29495,99,0.030434,-1914.220703125,-1854.53564453125,0.4383333333333335
2022/12/26-15:07:40,5181,14074,4.0,29501,82,0.022810,-1914.646484375,-1854.53564453125,0.4346666666666671
2022/12/26-15:07:46,5182,14324,3.0,29499,60,0.034127,-1913.9410400390625,-1854.53564453125,0.44041666666666646
2022/12/26-15:07:48,5183,14375,5.0,29497,80,0.032134,-1913.4403076171875,-1854.53564453125,0.439
2022/12/26-15:07:48,5184,14414,7.0,29502,104,0.033444,-1911.802001953125,-1854.53564453125,0.43716666666666687
2022/12/26-15:07:49,5185,14428,2.0,29500,53,0.021812,-1911.754150390625,-1854.53564453125,0.4360000000000002
2022/12/26-15:07:49,5186,14428,2.0,29496,52,0.027704,-1911.7281494140625,-1854.53564453125,0.4346666666666671
2022/12/26-15:07:50,5187,14490,2.0,29495,54,0.029691,-1910.1339111328125,-1854.53564453125,0.4377500000000002
2022/12/26-15:07:50,5188,14494,8.0,29498,79,0.027962,-1910.1951904296875,-1854.53564453125,0.43716666666666687
2022/12/26-15:08:00,5189,14881,3.0,29497,60,0.031286,-1905.4693603515625,-1854.53564453125,0.4385
2022/12/26-15:08:01,5190,14941,3.0,29502,64,0.033569,-1906.0234375,-1854.53564453125,0.43658333333333355
2022/12/26-15:08:02,5191,14968,8.0,29501,116,0.022870,-1906.22900390625,-1854.53564453125,0.43400000000000044
2022/12/26-15:08:02,5192,14990,3.0,29495,61,0.029416,-1907.106689453125,-1854.53564453125,0.43716666666666687
2022/12/26-15:08:02,5193,14990,3.0,29498,60,0.027606,-1907.106689453125,-1854.53564453125,0.43658333333333355
2022/12/26-15:08:02,5194,14991,3.0,29500,67,0.021361,-1907.1488037109375,-1854.53564453125,0.4354166666666669
2022/12/26-15:08:06,5195,15129,5.0,29496,86,0.026924,-1908.748291015625,-1854.53564453125,0.43400000000000044
2022/12/26-15:08:10,5196,15325,9.0,29499,125,0.035577,-1907.6954345703125,-1854.53564453125,0.4399999999999998
2022/12/26-15:08:11,5197,15332,2.0,29495,50,0.029171,-1908.12646484375,-1854.53564453125,0.43658333333333355
2022/12/26-15:08:15,5198,15494,4.0,29501,70,0.022442,-1907.437744140625,-1854.53564453125,0.4333333333333338
2022/12/26-15:08:15,5199,15501,2.0,29496,48,0.026340,-1907.4801025390625,-1854.53564453125,0.4333333333333338
2022/12/26-15:08:15,5200,15541,4.0,29498,68,0.026816,-1907.331787109375,-1854.53564453125,0.4360000000000002
2022/12/26-15:08:15,5201,15541,6.0,29497,88,0.030228,-1907.331787109375,-1854.53564453125,0.438
2022/12/26-15:08:17,5202,15597,8.0,29502,81,0.034519,-1906.287841796875,-1854.53564453125,0.4360000000000002
2022/12/26-15:08:23,5203,15850,6.0,29500,100,0.021399,-1911.9503173828125,-1854.53564453125,0.43483333333333357
2022/12/26-15:08:24,5204,15890,2.0,29498,52,0.026838,-1912.1632080078125,-1854.53564453125,0.4354166666666669
2022/12/26-15:08:27,5205,16006,3.0,29497,59,0.029727,-1913.7601318359375,-1854.53564453125,0.4375
2022/12/26-15:08:30,5206,16113,4.0,29501,74,0.022707,-1914.211669921875,-1854.53564453125,0.43266666666666714
2022/12/26-15:08:30,5207,16113,4.0,29496,72,0.025660,-1914.8975830078125,-1854.53564453125,0.43266666666666714
2022/12/26-15:08:32,5208,16208,8.0,29502,75,0.034931,-1913.0570068359375,-1854.53564453125,0.4354166666666669
2022/12/26-15:08:32,5209,16214,11.0,29495,111,0.031519,-1913.0687255859375,-1854.53564453125,0.4360000000000002
2022/12/26-15:08:32,5210,16227,12.0,29499,112,0.037171,-1913.4754638671875,-1854.53564453125,0.4395833333333331
2022/12/26-15:08:37,5211,16399,3.0,29498,66,0.026492,-1913.96728515625,-1854.53564453125,0.43483333333333357
2022/12/26-15:08:40,5212,16542,1.0,29499,44,0.036501,-1915.477294921875,-1854.53564453125,0.4391666666666664
2022/12/26-15:08:41,5213,16598,6.0,29500,92,0.020861,-1915.42431640625,-1854.53564453125,0.43425000000000025
2022/12/26-15:08:43,5214,16684,3.0,29501,65,0.022235,-1913.5076904296875,-1854.53564453125,0.4320000000000005
2022/12/26-15:08:43,5215,16684,11.0,29496,71,0.027114,-1913.0548095703125,-1854.53564453125,0.4320000000000005
2022/12/26-15:08:44,5216,16690,2.0,29495,56,0.031094,-1913.2681884765625,-1854.53564453125,0.4354166666666669
2022/12/26-15:08:44,5217,16705,3.0,29502,60,0.034337,-1913.3118896484375,-1854.53564453125,0.43483333333333357
2022/12/26-15:08:50,5218,16972,8.0,29497,121,0.029514,-1906.3843994140625,-1854.53564453125,0.437
2022/12/26-15:08:51,5219,17013,4.0,29498,76,0.026098,-1905.5233154296875,-1854.53564453125,0.43425000000000025
2022/12/26-15:08:53,5220,17065,4.0,29499,67,0.036123,-1905.792236328125,-1854.53564453125,0.43874999999999975
2022/12/26-15:08:56,5221,17207,4.0,29500,75,0.020602,-1905.135986328125,-1854.53564453125,0.4336666666666669
2022/12/26-15:08:57,5222,17273,4.0,29501,69,0.021829,-1905.521728515625,-1854.53564453125,0.43133333333333385
2022/12/26-15:08:58,5223,17308,5.0,29495,80,0.030557,-1906.9462890625,-1854.53564453125,0.43483333333333357
2022/12/26-15:09:00,5224,17403,6.0,29502,92,0.033656,-1908.101806640625,-1854.53564453125,0.43425000000000025
2022/12/26-15:09:01,5225,17426,3.0,29497,59,0.028927,-1908.9195556640625,-1854.53564453125,0.4365
2022/12/26-15:09:02,5226,17462,5.0,29496,98,0.027608,-1908.80615234375,-1854.53564453125,0.43133333333333385
2022/12/26-15:09:08,5227,17690,5.0,29499,76,0.035210,-1905.2808837890625,-1854.53564453125,0.4383333333333331
